,tickerPair,month_id,ticker2,Date,ticker1,month,new_month,Spread1,Spread2,ratio,isPair,Spread1.log,Spread2.log,ratio.log
621,ABX|NEMCRP,29,NEMCRP,6/18/2013,ABX,6,FALSE,197.71,166.8,1.185311751,FALSE,5.286801311,5.11679549,1.033225057
622,ABX|NEMCRP,29,NEMCRP,6/19/2013,ABX,6,FALSE,206.115,172.815,1.192691607,FALSE,5.328434265,5.152221658,1.034201286
623,ABX|NEMCRP,29,NEMCRP,6/20/2013,ABX,6,FALSE,241.505,208.74,1.156965603,FALSE,5.486890177,5.341089458,1.027297936
624,ABX|NEMCRP,29,NEMCRP,6/21/2013,ABX,6,FALSE,259.98,224.63,1.157369897,FALSE,5.560604705,5.414454604,1.02699258
625,ABX|NEMCRP,29,NEMCRP,6/24/2013,ABX,6,FALSE,271.515,229.63,1.182402125,FALSE,5.604017386,5.436469318,1.03081928
626,ABX|NEMCRP,29,NEMCRP,6/25/2013,ABX,6,FALSE,262.415,215.63,1.216968882,FALSE,5.56992722,5.373563976,1.03654246
627,ABX|NEMCRP,29,NEMCRP,6/26/2013,ABX,6,FALSE,338.14,275.245,1.228505513,FALSE,5.823460011,5.61766161,1.036634175
628,ABX|NEMCRP,29,NEMCRP,6/27/2013,ABX,6,FALSE,349.24,284.375,1.228096703,FALSE,5.855759365,5.65029379,1.036363698
629,ABX|NEMCRP,29,NEMCRP,6/28/2013,ABX,6,FALSE,337.385,294.455,1.145794773,FALSE,5.821224712,5.68512619,1.023939402
630,ABX|NEMCRP,30,NEMCRP,7/1/2013,ABX,7,TRUE,329.81,288.155,1.144557617,FALSE,5.798516731,5.66349853,1.02384007
631,ABX|NEMCRP,30,NEMCRP,7/2/2013,ABX,7,FALSE,347.15,300.995,1.153341418,FALSE,5.849756963,5.707093653,1.024997541
632,ABX|NEMCRP,30,NEMCRP,7/3/2013,ABX,7,FALSE,355.16,301.345,1.178582688,FALSE,5.872568392,5.708255788,1.028785081
633,ABX|NEMCRP,30,NEMCRP,7/4/2013,ABX,7,FALSE,353.2,299.6,1.178905207,FALSE,5.867034469,5.702448252,1.028862378
